param,seed,avg_edge_len,max_deg,n_edges
0.01,142,15.7973,6,99
0.01,1142,17.6315,6,99
0.01,2142,14.3054,7,99
0.01,3142,17.8791,6,99
0.01,4142,18.3576,6,99
0.01,5142,15.3354,6,99
0.01,6142,14.7615,6,99
0.01,7142,14.9256,5,99
0.01,8142,13.652,6,99
0.01,9142,15.5289,5,99
0.01,10142,17.5823,6,99
0.01,11142,16.2035,6,99
0.01,12142,17.5774,6,99
0.01,13142,16.0285,6,99
0.01,14142,14.6063,6,99
0.01,15142,18.8723,6,99
0.01,16142,16.5086,6,99
0.01,17142,18.6402,6,99
0.01,18142,16.2571,6,99
0.01,19142,18.2191,6,99
0.01,20142,17.5667,6,99
0.01,21142,15.4653,5,99
0.01,22142,14.3943,6,99
0.01,23142,15.0582,5,99
0.01,24142,16.4355,6,99
0.01,25142,14.7971,5,99
0.01,26142,16.4445,6,99
0.01,27142,19.665,6,99
0.01,28142,17.7679,6,99
0.01,29142,17.6157,6,99
0.01,30142,15.9118,6,99
0.01,31142,15.2169,6,99
0.01,32142,17.4849,6,99
0.01,33142,17.7384,6,99
0.01,34142,16.6198,6,99
0.01,35142,14.0607,6,99
0.01,36142,17.4899,6,99
0.01,37142,17.7397,6,99
0.01,38142,16.4163,6,99
0.01,39142,16.0834,6,99
0.01,40142,17.1896,6,99
0.01,41142,13.8117,5,99
0.01,42142,17.4447,6,99
0.01,43142,18.6839,6,99
0.01,44142,16.0685,6,99
0.01,45142,17.2151,6,99
0.01,46142,18.4899,6,99
0.01,47142,13.9587,5,99
0.01,48142,15.224,6,99
0.01,49142,16.016,6,99
0.06,143,15.9032,5,99
0.06,1143,17.4841,6,98
0.06,2143,18.5358,6,99
0.06,3143,12.5613,6,99
0.06,4143,14.7252,6,99
0.06,5143,16.7835,5,99
0.06,6143,12.2047,6,99
0.06,7143,13.8812,6,99
0.06,8143,12.4062,6,99
0.06,9143,14.4051,6,99
0.06,10143,13.1331,6,99
0.06,11143,14.7033,6,99
0.06,12143,18.0731,6,99
0.06,13143,12.8597,6,99
0.06,14143,15.6685,6,99
0.06,15143,12.7988,6,99
0.06,16143,14.5436,6,99
0.06,17143,14.2462,6,99
0.06,18143,14.5916,6,99
0.06,19143,17.1972,6,99
0.06,20143,15.0216,6,99
0.06,21143,16.6716,6,99
0.06,22143,12.7667,6,99
0.06,23143,18.1873,6,99
0.06,24143,14.8071,6,99
0.06,25143,16.5875,6,99
0.06,26143,15.7461,6,99
0.06,27143,15.968,6,99
0.06,28143,15.9449,6,99
0.06,29143,17.368,6,99
0.06,30143,14.8016,6,99
0.06,31143,14.1974,6,99
0.06,32143,13.5875,6,99
